================================================================================
Cleanup-Log
================================================================================
Skript                    : cleanup.ps1
Autor                     : Stefan Homberg
Startzeit                 : 2026-06-14 08:31:21
Benutzer                  : ZEROBIT-BLADE\zerob
Computer                  : ZEROBIT-BLADE
PowerShell-Version        : 5.1.26100.8655
PowerShell-Edition        : Desktop
Interaktiver Lauf         : Ja
Automatisierung           : Nicht vorgesehen / wird bewusst blockiert
DryRun                    : True
WhatIfPreference          : False
MinimumAgeInYears         : 5
FileCutoffDate Eingabe    : 
Datei-Schwellen-Datum     : 06/14/2021 00:00:00
Datei-Schwellen-Quelle    : Standard: Heute minus 5 Jahre
Leere Verzeichnisse       : Unabhaengig vom Alter
LogPath                   : C:\Users\zerob\Documents\ibb\powershell\cleanup\20260614\to_delete_20260614_083108.log
Kandidatendatei-Ordner    : C:\Users\zerob\Documents\ibb\powershell\cleanup\20260614
ACHTUNG                   : Bei echtem Lauf werden protokollierte Eintraege endgueltig geloescht.
================================================================================

[2026-06-14 08:31:21.326] INFO	Aufgeloeste Eingabepfade:
[2026-06-14 08:31:22.408] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\number-app\dist\types\NumInfo.js	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.410] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\fs-json\app.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.411] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\fs-json\numbers.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.412] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\fs-json\package-lock.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.413] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\fs-json\package.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.414] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\fs-json\readFile.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.415] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\fs-json\readFileByName.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.416] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\fs-json\strings.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.417] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\fs-json\tsconfig.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.418] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\fs-json\writeFile.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.419] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\custom-server\about.html	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.420] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\custom-server\app.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.421] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\custom-server\data.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.422] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\custom-server\index.html	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.423] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\custom-server\package-lock.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.424] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\x-Node\custom-server\package.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.425] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\3-BufferUnderflow\app.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.426] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\3-BufferUnderflow\package-lock.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.427] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\3-BufferUnderflow\package.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.428] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\3-BufferUnderflow\tsconfig.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.430] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\3-BufferUnderflow\utils\getUniqueId.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.431] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\3-BufferUnderflow\entities\Answer.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.432] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\3-BufferUnderflow\entities\Attachment.ts	LastWriteTime=2020-10-27 15:46:52
